"Bare_trail","Activedays"
0,44
0,30
1,46
0,43
0,46
0,46
0,44
0,43
1,42
0,46
0,46
0,30
1,43
0,44
0,42
0,45
1,46
0,46
0,38
0,45
1,45
0,43
0,29
0,46
1,45
1,45
0,45
0,42
0,30
0,43
1,46
0,45
0,45
0,43
0,44
0,43
0,42
0,41
0,41
0,27
0,43
0,43
0,42
0,42
0,42
0,41
0,41
0,43
0,43
0,41
0,42
0,26
1,43
0,43
0,41
0,42
1,42
0,42
0,42
1,41
0,41
0,28
0,41
0,29
0,43
0,42
0,41
0,42
1,41
0,43
1,43
0,41
0,42
0,42
0,42
0,41
1,40
1,41
0,42
0,41
0,41
0,43
0,43
0,42
0,41
0,42
0,42
0,41
0,43
0,46
0,46
1,46
0,42
0,43
0,42
1,47
0,49
0,38
0,47
0,49
0,49
0,49
0,49
0,49
1,49
0,49
0,49
0,45
0,44
0,45
0,44
0,46
0,42
1,44
0,45
0,44
0,44
0,42
0,42
0,43
0,43
0,41
0,41
0,41
0,43
0,43
1,42
0,43
0,45
0,45
0,44
0,44
0,43
0,44
0,42
0,45
0,44
0,35
0,44
0,42
0,43
1,44
0,44
0,43
1,43
1,47
1,47
0,43
1,43
0,43
1,43
0,46
0,43
0,44
0,43
0,43
0,46
0,47
0,43
1,44
1,44
0,44
0,46
0,43
1,43
0,44
0,44
1,46
0,46
0,43
1,43
0,44
1,43
0,46
0,48
0,40
1,43
0,49
0,46
1,51
0,51
0,49
0,51
1,50
1,48
0,46
0,51
0,51
0,49
0,48
0,48
0,49
0,46
0,51
0,49
0,48
1,48
0,49
1,46
0,45
1,50
1,48
1,50
1,49
1,45
0,49
0,45
1,50
0,46
0,44
0,45
0,47
0,47
0,45
0,45
0,14
0,45
1,48
0,45
1,45
1,17
0,48
0,41
1,46
0,46
0,49
0,45
0,48
0,45
0,45
0,45
0,49
0,48
0,41
0,45
0,45
0,45
0,49
0,46
0,46
0,41
0,14
0,45
0,41
0,42
0,43
0,42
0,14
0,42
0,42
0,43
0,34
0,48
0,49
0,41
0,42
0,41
0,41
0,43
0,48
1,42
1,48
1,42
0,43
0,43
1,45
0,45
0,34
0,43
0,45
0,43
0,45
1,34
1,34
0,43
0,42
0,43
1,42
0,43
0,34
0,43
0,45
0,45
0,45
0,49
0,41
0,45
0,45
0,45
0,49
0,68
0,47
0,43
0,45
0,49
0,53
0,50
0,54
0,43
0,46
0,51
0,41
0,53
0,49
0,45
0,55
0,51
0,47
0,53
0,45
0,45
0,51
0,51
0,14
0,45
